N,nbags,exp,injuries,non-injuries,thresh,Val_AUC,Val_RE,Val_SP,Val_TP,Val_FP,Val_TN,Val_FN,Test_AUC,Test_RE,Test_SP,Test_TP,Test_FP,Test_TN,Test_FN
10,9,0,50,2994,0.4436567458841536,0.7119572478289913,0.64,0.6402805611222445,32,1077,1917,18,0.7190313961255844,0.6,0.7214428857715431,30,834,2160,20
10,9,1,50,2994,0.47555141316519844,0.7459652638610554,0.7,0.7057448229792919,35,881,2113,15,0.723874415497662,0.5,0.7788911155644622,25,662,2332,25
10,9,2,50,2994,0.46711615721384686,0.7316165664662659,0.68,0.6720106880427522,34,982,2012,16,0.7227722110888444,0.56,0.7511690046760187,28,745,2249,22
10,9,3,50,2994,0.4259966131713655,0.7006412825651303,0.62,0.6112224448897795,31,1164,1830,19,0.7182631930527721,0.64,0.7254509018036072,32,822,2172,18
10,9,4,50,2994,0.4483565456337399,0.7367601870407482,0.64,0.648630594522378,32,1052,1942,18,0.7093319973279892,0.62,0.7334669338677354,31,798,2196,19
